customer_key,customer_name,customer_type,housing_type,vertical,address,city,state,zip,region_key
1,Aleksandr Weihmann,Privatkunde,Einfamilienhaus,Energy,WiesenAllee 27,Leipzig,East,04194,403
2,Eleni Hauffer,Privatkunde,Einfamilienhaus,Energy,BahnhofGasse 118,München,South,80649,401
3,Paul Dobes-Stey,Privatkunde,Einfamilienhaus,Energy,SonnenRing 93,Braunschweig,North,38691,400
4,Klemens Löchel,Privatkunde,Wohnung,Energy,GoetheWeg 26,Hamburg,North,20489,400
5,Alexandre Davids,Privatkunde,Reihenhaus,Energy,LindenGasse 69,Nürnberg,South,90818,401
6,Eric Pärtzelt B.Sc.,Privatkunde,Einfamilienhaus,Energy,BlumenWeg 42,Dresden,East,01573,403
7,Orhan Seip MBA.,Privatkunde,Wohnung,Energy,MondAllee 15,Karlsruhe,South,76334,401
8,Dipl.-Ing. Klaus-Werner Holsten B.Sc.,Privatkunde,Einfamilienhaus,Energy,TalGasse 81,Potsdam,East,14317,403
9,Univ.Prof. Heimo Karge,Kleingewerbe,Reihenhaus,Energy,EichenGasse 144,Dortmund,West,44651,402
10,Carolin Hande,Kleingewerbe,Reihenhaus,Energy,MozartRing 127,Nürnberg,South,90193,401
11,Auguste Davids,Privatkunde,Einfamilienhaus,Energy,MondPlatz 17,Bochum,West,44494,402
12,Ariane Klemt-Kaul,Privatkunde,Mehrfamilienhaus,Energy,HauptGasse 30,Karlsruhe,South,76798,401
13,Rosalia Beyer,Kleingewerbe,Reihenhaus,Energy,BeethovenPlatz 1,Leipzig,East,04839,403
14,Kathrin Ebert MBA.,Privatkunde,Einfamilienhaus,Energy,SchillerGasse 77,Berlin,East,10961,403
15,Karl-Dieter Hornig,Privatkunde,Wohnung,Energy,BergRing 1,Duisburg,West,47713,402
16,Schönland,Kleingewerbe,Gewerbeimmobilie,Energy,RosenWeg 15,München,South,80346,401
17,Leonie Gröttner,Privatkunde,Reihenhaus,Energy,GoetheRing 33,Erfurt,East,99231,403
18,Anatoli Speer,Privatkunde,Reihenhaus,Energy,SeePlatz 55,Münster,West,48652,402
19,Ing. Arnulf Heintze B.Sc.,Privatkunde,Reihenhaus,Energy,MondGasse 96,Bonn,West,53548,402
20,Erika Metz-Schuster,Privatkunde,Einfamilienhaus,Energy,HauptRing 142,Berlin,East,10335,403
21,Cathrin Koch II,Privatkunde,Einfamilienhaus,Energy,GoetheStraße 85,Köln,West,50172,402
22,Delia Steckel,Privatkunde,Reihenhaus,Energy,BlumenRing 148,Düsseldorf,West,40584,402
23,Mechtild Stoll,Privatkunde,Einfamilienhaus,Energy,MondPlatz 91,Stuttgart,South,70533,401
24,Leif Schuster,Privatkunde,Wohnung,Energy,SonnenStraße 16,Würzburg,South,97512,401
25,Prof. Ottokar Henschel,Privatkunde,Einfamilienhaus,Energy,BergPlatz 36,Wuppertal,West,42532,402
26,Misicher GmbH,Kleingewerbe,Einfamilienhaus,Energy,BergStraße 13,Bremen,North,28767,400
27,Schwital Stroh KG,Gewerbekunde,Gewerbeimmobilie,Energy,EichenWeg 105,Magdeburg,East,39597,403
28,Univ.Prof. Gotthilf Wilmsen B.Sc.,Kleingewerbe,Einfamilienhaus,Energy,MarktAllee 117,Würzburg,South,97392,401
29,Beckmann e.V.,Gewerbekunde,Gewerbeimmobilie,Energy,SternPlatz 40,Karlsruhe,South,76294,401
30,Heidrun Heuser,Privatkunde,Reihenhaus,Energy,BlumenAllee 15,Karlsruhe,South,76151,401
31,Hahn KG,Kleingewerbe,Einfamilienhaus,Energy,GoetheWeg 18,Essen,West,45709,402
32,Diana Sölzer,Privatkunde,Mehrfamilienhaus,Energy,TalWeg 149,Oldenburg,North,26708,400
33,Dipl.-Ing. Svea Seifert MBA.,Privatkunde,Wohnung,Energy,TannenAllee 53,Hamburg,North,20785,400
