account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000001,Aleksandr Weihmann,1,Privatkunde,Energy,WiesenAllee 27,Leipzig,East,04194,Kunde,382194,1,2023-07-10
ACC000002,Eleni Hauffer,2,Privatkunde,Energy,BahnhofGasse 118,München,South,80649,Partner,384496,1,2020-10-09
ACC000003,Paul Dobes-Stey,3,Privatkunde,Energy,SonnenRing 93,Braunschweig,North,38691,Kunde,220065,1,2020-04-28
ACC000004,Klemens Löchel,4,Privatkunde,Energy,GoetheWeg 26,Hamburg,North,20489,Interessent,58447,1,2023-03-24
ACC000005,Alexandre Davids,5,Privatkunde,Energy,LindenGasse 69,Nürnberg,South,90818,Partner,87673,1,2023-12-30
ACC000006,Eric Pärtzelt B.Sc.,6,Privatkunde,Energy,BlumenWeg 42,Dresden,East,01573,Interessent,393429,1,2021-06-14
ACC000007,Orhan Seip MBA.,7,Privatkunde,Energy,MondAllee 15,Karlsruhe,South,76334,Kunde,406750,1,2021-07-07
ACC000008,Dipl.-Ing. Klaus-Werner Holsten B.Sc.,8,Privatkunde,Energy,TalGasse 81,Potsdam,East,14317,Partner,455528,1,2022-09-28
ACC000009,Univ.Prof. Heimo Karge,9,Kleingewerbe,Energy,EichenGasse 144,Dortmund,West,44651,Kunde,1092038,5,2021-12-16
ACC000010,Carolin Hande,10,Kleingewerbe,Energy,MozartRing 127,Nürnberg,South,90193,Interessent,2068931,100,2020-08-18
ACC000011,Auguste Davids,11,Privatkunde,Energy,MondPlatz 17,Bochum,West,44494,Partner,96123,1,2022-02-19
ACC000012,Ariane Klemt-Kaul,12,Privatkunde,Energy,HauptGasse 30,Karlsruhe,South,76798,Partner,212203,1,2023-06-29
ACC000013,Rosalia Beyer,13,Kleingewerbe,Energy,BeethovenPlatz 1,Leipzig,East,04839,Kunde,1378666,5,2021-11-12
ACC000014,Kathrin Ebert MBA.,14,Privatkunde,Energy,SchillerGasse 77,Berlin,East,10961,Interessent,479259,1,2021-02-25
ACC000015,Karl-Dieter Hornig,15,Privatkunde,Energy,BergRing 1,Duisburg,West,47713,Kunde,30956,1,2021-11-27
ACC000016,Schönland,16,Kleingewerbe,Energy,RosenWeg 15,München,South,80346,Partner,2525072,10,2020-09-20
ACC000017,Leonie Gröttner,17,Privatkunde,Energy,GoetheRing 33,Erfurt,East,99231,Kunde,137531,1,2021-12-11
ACC000018,Anatoli Speer,18,Privatkunde,Energy,SeePlatz 55,Münster,West,48652,Partner,402209,1,2022-04-01
ACC000019,Ing. Arnulf Heintze B.Sc.,19,Privatkunde,Energy,MondGasse 96,Bonn,West,53548,Partner,188323,1,2020-11-19
ACC000020,Erika Metz-Schuster,20,Privatkunde,Energy,HauptRing 142,Berlin,East,10335,Partner,300551,1,2021-10-29
ACC000021,Cathrin Koch II,21,Privatkunde,Energy,GoetheStraße 85,Köln,West,50172,Kunde,324875,1,2020-04-14
ACC000022,Delia Steckel,22,Privatkunde,Energy,BlumenRing 148,Düsseldorf,West,40584,Interessent,112563,1,2022-05-30
ACC000023,Mechtild Stoll,23,Privatkunde,Energy,MondPlatz 91,Stuttgart,South,70533,Kunde,76989,1,2021-06-27
ACC000024,Leif Schuster,24,Privatkunde,Energy,SonnenStraße 16,Würzburg,South,97512,Kunde,495976,1,2021-01-25
ACC000025,Prof. Ottokar Henschel,25,Privatkunde,Energy,BergPlatz 36,Wuppertal,West,42532,Partner,233245,1,2023-04-07
ACC000026,Misicher GmbH,26,Kleingewerbe,Energy,BergStraße 13,Bremen,North,28767,Interessent,4243442,10,2023-07-27
ACC000027,Schwital Stroh KG,27,Gewerbekunde,Energy,EichenWeg 105,Magdeburg,East,39597,Partner,591999,50,2022-09-10
ACC000028,Univ.Prof. Gotthilf Wilmsen B.Sc.,28,Kleingewerbe,Energy,MarktAllee 117,Würzburg,South,97392,Interessent,4741007,25,2020-03-14
ACC000029,Beckmann e.V.,29,Gewerbekunde,Energy,SternPlatz 40,Karlsruhe,South,76294,Kunde,3480341,25,2020-12-25
ACC000030,Heidrun Heuser,30,Privatkunde,Energy,BlumenAllee 15,Karlsruhe,South,76151,Interessent,132751,1,2020-10-08
ACC000031,Hahn KG,31,Kleingewerbe,Energy,GoetheWeg 18,Essen,West,45709,Kunde,2677139,5,2022-12-12
ACC000032,Diana Sölzer,32,Privatkunde,Energy,TalWeg 149,Oldenburg,North,26708,Partner,93276,1,2021-09-06
ACC000033,Dipl.-Ing. Svea Seifert MBA.,33,Privatkunde,Energy,TannenAllee 53,Hamburg,North,20785,Kunde,442914,1,2020-06-22
ACC000034,Franjo Etzold-Hentschel,34,Privatkunde,Energy,RosenPlatz 81,Düsseldorf,West,40869,Interessent,31268,1,2023-12-05
ACC000035,Nathalie Sauer,35,Privatkunde,Energy,SchillerStraße 138,Berlin,East,10318,Partner,385208,1,2022-08-20
ACC000036,Prof. Heiderose Klotz,36,Privatkunde,Energy,EichenAllee 73,Köln,West,50261,Partner,120144,1,2022-10-03
ACC000037,Dr. Jaroslaw Nohlmans B.Sc.,37,Privatkunde,Energy,HeideGasse 136,Nürnberg,South,90108,Interessent,342218,1,2022-12-26
